Iteration, Algorithm, Time(s)
1,frodo976aes,0.02
2,frodo976aes,0.02
3,frodo976aes,0.02
4,frodo976aes,0.02
5,frodo976aes,0.02
6,frodo976aes,0.02
7,frodo976aes,0.02
8,frodo976aes,0.02
9,frodo976aes,0.02
10,frodo976aes,0.02
11,frodo976aes,0.02
12,frodo976aes,0.02
13,frodo976aes,0.02
14,frodo976aes,0.02
15,frodo976aes,0.02
16,frodo976aes,0.02
17,frodo976aes,0.02
18,frodo976aes,0.02
19,frodo976aes,0.02
20,frodo976aes,0.02
21,frodo976aes,0.02
22,frodo976aes,0.02
23,frodo976aes,0.02
24,frodo976aes,0.02
25,frodo976aes,0.02
26,frodo976aes,0.02
27,frodo976aes,0.02
28,frodo976aes,0.02
29,frodo976aes,0.02
30,frodo976aes,0.02
31,frodo976aes,0.02
32,frodo976aes,0.02
33,frodo976aes,0.02
34,frodo976aes,0.02
35,frodo976aes,0.02
36,frodo976aes,0.02
37,frodo976aes,0.02
38,frodo976aes,0.02
39,frodo976aes,0.02
40,frodo976aes,0.02
41,frodo976aes,0.02
42,frodo976aes,0.02
43,frodo976aes,0.02
44,frodo976aes,0.02
45,frodo976aes,0.02
46,frodo976aes,0.02
47,frodo976aes,0.02
48,frodo976aes,0.02
49,frodo976aes,0.02
50,frodo976aes,0.02
51,frodo976aes,0.02
52,frodo976aes,0.02
53,frodo976aes,0.02
54,frodo976aes,0.02
55,frodo976aes,0.02
56,frodo976aes,0.02
57,frodo976aes,0.02
58,frodo976aes,0.02
59,frodo976aes,0.02
60,frodo976aes,0.02
61,frodo976aes,0.02
62,frodo976aes,0.02
63,frodo976aes,0.02
64,frodo976aes,0.02
65,frodo976aes,0.02
66,frodo976aes,0.02
67,frodo976aes,0.02
68,frodo976aes,0.02
69,frodo976aes,0.02
70,frodo976aes,0.02
71,frodo976aes,0.02
72,frodo976aes,0.02
73,frodo976aes,0.02
74,frodo976aes,0.02
75,frodo976aes,0.02
76,frodo976aes,0.02
77,frodo976aes,0.02
78,frodo976aes,0.02
79,frodo976aes,0.02
80,frodo976aes,0.02
81,frodo976aes,0.02
82,frodo976aes,0.02
83,frodo976aes,0.02
84,frodo976aes,0.02
85,frodo976aes,0.02
86,frodo976aes,0.02
87,frodo976aes,0.02
88,frodo976aes,0.02
89,frodo976aes,0.02
90,frodo976aes,0.02
91,frodo976aes,0.02
92,frodo976aes,0.02
93,frodo976aes,0.02
94,frodo976aes,0.02
95,frodo976aes,0.02
96,frodo976aes,0.02
97,frodo976aes,0.02
98,frodo976aes,0.02
99,frodo976aes,0.02
100,frodo976aes,0.02
